Molecule Name,Structure,CDD Number,SMILES,Canonical PostEra ID,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 CI (Lower) (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 CI (Upper) (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Concentration (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Inhibition (%)
CVD-0020429, ,,O=C(NNc1nc2ccccc2o1)c1cc(=O)[nH]c2ccccc12,ALP-UNI-ed5cdfd2-4,> 99.5,,,99.5,49.3
CVD-0020429, ,,O=C(NNc1nc2ccccc2o1)c1cc(=O)[nH]c2ccccc12,ALP-UNI-ed5cdfd2-4,> 99.5,,,49.75,25.5
CVD-0020429, ,,O=C(NNc1nc2ccccc2o1)c1cc(=O)[nH]c2ccccc12,ALP-UNI-ed5cdfd2-4,> 99.5,,,24.8799991607666,13.9
CVD-0020429, ,,O=C(NNc1nc2ccccc2o1)c1cc(=O)[nH]c2ccccc12,ALP-UNI-ed5cdfd2-4,> 99.5,,,12.4399995803833,3.85
CVD-0020429, ,,O=C(NNc1nc2ccccc2o1)c1cc(=O)[nH]c2ccccc12,ALP-UNI-ed5cdfd2-4,> 99.5,,,99.5,47.6
CVD-0020429, ,,O=C(NNc1nc2ccccc2o1)c1cc(=O)[nH]c2ccccc12,ALP-UNI-ed5cdfd2-4,> 99.5,,,7.46299982070923,9.37
CVD-0020429, ,,O=C(NNc1nc2ccccc2o1)c1cc(=O)[nH]c2ccccc12,ALP-UNI-ed5cdfd2-4,> 99.5,,,49.75,26.7
CVD-0020429, ,,O=C(NNc1nc2ccccc2o1)c1cc(=O)[nH]c2ccccc12,ALP-UNI-ed5cdfd2-4,> 99.5,,,2.48799991607666,-2.79
CVD-0020429, ,,O=C(NNc1nc2ccccc2o1)c1cc(=O)[nH]c2ccccc12,ALP-UNI-ed5cdfd2-4,> 99.5,,,24.8799991607666,14.6
CVD-0020429, ,,O=C(NNc1nc2ccccc2o1)c1cc(=O)[nH]c2ccccc12,ALP-UNI-ed5cdfd2-4,> 99.5,,,1.55200004577637,0.96
CVD-0020429, ,,O=C(NNc1nc2ccccc2o1)c1cc(=O)[nH]c2ccccc12,ALP-UNI-ed5cdfd2-4,> 99.5,,,12.4399995803833,2.17
CVD-0020429, ,,O=C(NNc1nc2ccccc2o1)c1cc(=O)[nH]c2ccccc12,ALP-UNI-ed5cdfd2-4,> 99.5,,,0.776000022888184,-4.16
CVD-0020429, ,,O=C(NNc1nc2ccccc2o1)c1cc(=O)[nH]c2ccccc12,ALP-UNI-ed5cdfd2-4,> 99.5,,,7.46299982070923,12.4
CVD-0020429, ,,O=C(NNc1nc2ccccc2o1)c1cc(=O)[nH]c2ccccc12,ALP-UNI-ed5cdfd2-4,> 99.5,,,0.388000011444092,6.05
