"Compound ID","SMILES","Library","Shipment","Plate Name","Source Well","Lab Visit","Soak DB Entry","Sample Name","Mounting Result","Soak DB Comments","Data Collection Date","Data Collection Outcome","Resolution","Refinement Outcome","Status","Date Last Updated","Fragalysis","PDB Code","Zenodo Status","Postera Series","Rapid Fire inhibition at 50 uM","Rapid Fire avg IC50 (uM)","Fluorescence inhibition at 50 uM","Fluorescence avg IC50 (uM)","Trypsin IC50","NMR std ratio"
"LON-WEI-b8d98729-25","COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC=3N=CSC3C2)C=4C=CC=NC4)=CC1","MoonShot","Moonshot_shipment_1","1166137-Y4-01","M07","lb18145-153","lb18145-153-3746","","FAIL: Clear:No comment","Co-crystallisation",,"None",,,"Stopped",,,,,"Ugi",,,15.369845,,,
"LON-WEI-b8d98729-39","CCC=1C=CC=C(C)C1NC(=O)C(N(C(=O)C=C)C=2C=CC(=CC2)C(F)(F)F)C=3C=CC=NC3","MoonShot","Moonshot_shipment_1","1166137-Y4-01","N06","lb18145-153","lb18145-153-3747","","FAIL: Clear:No comment","Co-crystallisation",,"None",,,"Stopped",,,,,"Ugi",,,38.632575,97.7888349071212,,
"LON-WEI-b8d98729-26","COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC(=NC2)C(C)C)C=3C=CC=NC3)=C(C)C1","MoonShot","Moonshot_shipment_1","1166137-Y4-01","N07","lb18145-153","lb18145-153-3748","","FAIL: Clear:No comment","Co-crystallisation",,"None",,,"Stopped",,,,,"Ugi",,,10.390333,,,
"LON-WEI-b8d98729-35","CCC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NC=2C=CC(Br)=CC2)C=3C=CC=NC3)C(=O)C=C","MoonShot","Moonshot_shipment_1","1166137-Y4-01","O06","lb18145-153","lb18145-153-3749","","FAIL: Precipitated:No comment","Co-crystallisation",,"None",,,"Stopped",,,,,"Ugi",,,18.35956,,,
"LON-WEI-b8d98729-28","COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC(=CC2)S(F)(F)(F)(F)F)C=3C=CC=NC3)=C(C)C1","MoonShot","Moonshot_shipment_1","1166137-Y4-01","O07","lb18145-153","lb18145-153-3750","","FAIL: Clear:No comment","Co-crystallisation",,"None",,,"Stopped",,,,,"Ugi",,,12.22758,,,
"LON-WEI-b8d98729-6","CSC=1C=CC(=CC1)N(C(C(=O)NC(C)(C)C)C=2C=CC=NC2)C(=O)C=C","MoonShot","Moonshot_shipment_1","1166137-Y4-01","P06","lb18145-153","lb18145-153-3751","","FAIL: Clear:No comment","Co-crystallisation",,"None",,,"Stopped",,,,,"Ugi",,,7.747043,,,
"LON-WEI-b8d98729-29","CCC=1C=CC=C(C)C1NC(=O)C(N(C(=O)C=C)C=2C=CC(=CC2)S(F)(F)(F)(F)F)C=3C=CC=NC3","MoonShot","Moonshot_shipment_1","1166137-Y4-01","P07","lb18145-153","lb18145-153-3752","","FAIL: Crystalline:No comment","Co-crystallisation",,"None",,,"Stopped",,,,,"Ugi",,,7.068751,,,
"LON-WEI-b8d98729-40","COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC(SC)=CC2)C=3C=CC=NC3)=C(C)C1","MoonShot","Moonshot_shipment_1","1166137-Y4-01","Q06","lb18145-153","lb18145-153-3753","","FAIL: Crystalline:No comment","Co-crystallisation",,"None",,,"Stopped",,,,,"Ugi",,,22.24457,,,
"LON-WEI-b8d98729-30","COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC(N(C)C)=C(C)C2)C=3C=CC=NC3)=C(C)C1","MoonShot","Moonshot_shipment_1","1166137-Y4-01","Q07","lb18145-153","lb18145-153-3754","","FAIL: Crystalline:No comment","Co-crystallisation",,"None",,,"Stopped",,,,,"Ugi",,,7.00835,,,
"LON-WEI-b8d98729-7","CC(C)(C)NC(=O)C(N(C(=O)C=C)C=1C=CC(=CC1)S(F)(F)(F)(F)F)C=2C=CC=NC2","MoonShot","Moonshot_shipment_1","1166137-Y4-01","R06","lb18145-153","lb18145-153-3755","","FAIL: Clear:No comment","Co-crystallisation",,"None",,,"Stopped",,,,,"Ugi",,,23.00163,,,
"LON-WEI-b8d98729-44","ClC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC=3N=CSC3C2)C=4C=CC=NC4)=CC1","MoonShot","Moonshot_shipment_1","1166137-Y4-01","S06","lb18145-153","lb18145-153-3756","","FAIL: Precipitated:No comment","Co-crystallisation",,"None",,,"Stopped",,,,,"Ugi",,,25.263735,,,
"LON-WEI-b8d98729-42","CCC=1C=CC=C(C)C1NC(=O)C(N(C(=O)C=C)C=2C=CC(N(C)C)=C(C)C2)C=3C=CC=NC3","MoonShot","Moonshot_shipment_1","1166137-Y4-01","T06","lb18145-153","lb18145-153-3757","","FAIL: Precipitated:No comment","Co-crystallisation",,"None",,,"Stopped",,,,,"Ugi",,,13.24039,,,
"LON-WEI-b8d98729-45","CCC=1C=CC=C(C)C1NC(=O)C(N(C(=O)C=C)C=2C=CC(=CC2)C(C)OC)C=3C=CC=NC3","MoonShot","Moonshot_shipment_1","1166137-Y4-01","U06","lb18145-153","lb18145-153-3758","","FAIL: Clear:No comment","Co-crystallisation",,"None",,,"Stopped",,,,,"Ugi",,,3.935542,,,
